Currency,Date,Today_Closing_Price,NextDay_Closing_Price,Opening_Price,24h_High,24h_Low
BTC,01/05/2019,5277.444469,5297.942492,5155.617283,5292.605385,5130.260198
BTC,02/05/2019,5297.942492,5405.878067,5277.44445,5351.359143,5259.844026
BTC,03/05/2019,5405.878067,5697.679054,5323.63927,5427.488394,5310.6701
BTC,04/05/2019,5697.679054,5812.331779,5405.878111,5791.211463,5378.208048
BTC,05/05/2019,5812.331779,5713.035052,5690.147527,5829.948913,5529.74824
BTC,06/05/2019,5713.035052,5706.008421,5787.598598,5787.645478,5634.72385
BTC,07/05/2019,5706.008421,5899.529693,5713.034966,5750.565609,5562.314727
BTC,08/05/2019,5899.529693,5932.441391,5687.259841,5956.150104,5687.253246
BTC,09/05/2019,5932.441391,6159.685902,5759.375057,5942.410892,5708.476326
BTC,10/05/2019,6159.685902,6387.82945,5932.446285,6159.685902,5845.650918
BTC,11/05/2019,6387.82945,7254.805536,6159.689544,6426.831207,6098.157976
BTC,12/05/2019,7254.805536,6992.706661,6347.706737,7337.322181,6346.331889
BTC,13/05/2019,6992.706661,7906.940835,7241.023653,7577.770675,6758.882084
BTC,14/05/2019,7906.940835,7928.417416,6992.705887,8148.561088,6860.28668
BTC,15/05/2019,7928.417416,8177.453519,7906.946425,8353.869652,7642.403561
BTC,16/05/2019,8177.453519,7820.076243,7989.127708,8260.95311,7844.980238
BTC,17/05/2019,7820.076243,7243.650539,8177.453574,8360.300191,7683.665283
BTC,18/05/2019,7243.650539,7295.649729,7820.076541,7935.97477,6900.829403
BTC,19/05/2019,7295.649729,8221.259395,7361.257633,7490.7942,7218.260668
BTC,20/05/2019,8221.259395,7917.012499,7285.421427,8242.357508,7267.210918
BTC,21/05/2019,7917.012499,7961.128743,8221.265473,8296.545603,7581.108489
BTC,22/05/2019,7961.128743,7723.90388,7984.511103,8092.679154,7811.277222
BTC,23/05/2019,7723.90388,7903.84691,7961.51988,8018.754546,7511.113924
BTC,24/05/2019,7903.84691,8038.506791,7723.894267,7973.230631,7478.095035
BTC,25/05/2019,8038.506791,8089.570163,7871.375871,8171.800838,7792.433814
BTC,26/05/2019,8089.570163,8653.142368,7990.919816,8130.577634,7935.743891
BTC,27/05/2019,8653.142368,8800.346606,8090.046526,8780.78203,7889.070676
BTC,28/05/2019,8800.346606,8719.331485,8653.151802,8937.246491,8621.572192
BTC,29/05/2019,8719.331485,8672.400107,8776.565788,8819.666297,8555.590834
BTC,30/05/2019,8672.400107,8287.040256,8721.347641,8756.242443,8430.12989
BTC,31/05/2019,8287.040256,8513.203882,8665.839657,9084.149997,8025.586476
BTC,01/06/2019,8513.203882,8588.479505,8285.496394,8544.643225,8120.089479
BTC,02/06/2019,8588.479505,8744.265561,8514.395927,8622.729981,8455.86041
BTC,03/06/2019,8744.265561,8474.048229,8589.169642,8830.182154,8523.242741
BTC,04/06/2019,8474.048229,7645.572514,8744.109224,8765.743462,8342.317687
BTC,05/06/2019,7645.572514,7790.321135,8108.159569,8108.159569,7453.269352
BTC,06/06/2019,7790.321135,7730.881726,7644.798758,7922.561139,7586.361621
BTC,07/06/2019,7730.881726,8030.256079,7794.195924,7920.527049,7459.129076
BTC,08/06/2019,8030.256079,7949.425799,7730.185918,8134.16682,7723.539678
BTC,09/06/2019,7949.425799,7600.922492,8030.233856,8074.593539,7790.899834
BTC,10/06/2019,7600.922492,7954.006238,7930.892273,7964.024535,7525.592609
BTC,11/06/2019,7954.006238,7903.62525,7600.922505,8064.900135,7530.5341
BTC,12/06/2019,7903.62525,8151.78868,8014.230919,8048.222661,7714.610306
BTC,13/06/2019,8151.78868,8256.720099,7903.614632,8249.416067,7824.114084
BTC,14/06/2019,8256.720099,8667.787954,8166.668236,8330.664352,8052.154225
BTC,15/06/2019,8667.787954,8836.168413,8257.277693,8694.022966,8172.400277
BTC,16/06/2019,8836.168413,9061.540461,8698.144537,8897.996023,8622.471735
BTC,17/06/2019,9061.540461,9346.975087,8836.249652,9381.819714,8800.995665
BTC,18/06/2019,9346.975087,9012.48785,9061.593525,9409.342462,8969.770913
BTC,19/06/2019,9012.48785,9259.123638,9337.754059,9357.773256,8943.097105
BTC,20/06/2019,9259.123638,9559.900689,9011.469676,9285.416716,8967.581715
BTC,21/06/2019,9559.900689,9906.407965,9260.682723,9599.915335,9198.775257
BTC,22/06/2019,9906.407965,10461.41217,9559.900659,9941.527077,9521.832102
BTC,23/06/2019,10461.41217,10843.57097,10206.49034,11190.5678,10058.41627
BTC,24/06/2019,10843.57097,10996.45975,10461.39042,11307.69355,10460.99889
BTC,25/06/2019,10996.45975,11665.40968,10843.60177,11104.10052,10539.81244
BTC,26/06/2019,11665.40968,12444.92586,10996.45328,11704.6219,10951.02502
BTC,27/06/2019,12444.92586,11086.26883,11668.66586,13879.23771,11625.88109
BTC,28/06/2019,11086.26883,12316.95301,12444.92234,13328.58031,10314.75387
BTC,29/06/2019,12316.95301,12024.08097,11086.23572,12402.04351,10789.98414
BTC,30/06/2019,12024.08097,10932.31051,12360.1871,12381.0417,11368.2745
BTC,01/07/2019,10932.31051,10454.68382,12024.09452,12187.3067,10837.56007
BTC,02/07/2019,10454.68382,10800.13014,10932.30749,11196.99575,9986.256849
BTC,03/07/2019,10800.13014,11942.24022,10454.71189,10933.815,9676.5904
BTC,04/07/2019,11942.24022,11645.52461,10778.91006,11967.65444,10691.66944
BTC,05/07/2019,11645.52461,10946.20905,11942.24132,12044.07955,11488.83066
BTC,06/07/2019,10946.20905,11219.046,11138.77103,11440.85573,10771.35484
BTC,07/07/2019,11219.046,11422.11447,10946.20856,11735.57094,10834.77587
BTC,08/07/2019,11422.11447,12335.99939,11219.04951,11593.11777,11101.91516
BTC,09/07/2019,12335.99939,12575.90407,11422.14116,12354.46303,11335.16395
BTC,10/07/2019,12575.90407,12054.18379,12335.99155,12815.67904,12127.71218
BTC,11/07/2019,12054.18379,11324.1447,12585.24197,13175.68774,11566.89839
BTC,12/07/2019,11324.1447,11802.95996,12054.18281,12188.17784,11011.04112
BTC,13/07/2019,11802.95996,11279.60274,11324.20183,11919.92206,11100.08851
BTC,14/07/2019,11279.60274,10506.39583,11796.77215,11830.80837,10826.03516
BTC,15/07/2019,10506.39583,10934.48274,11402.96731,11463.24252,10316.74949
BTC,16/07/2019,10934.48274,9490.410516,10506.34821,10954.82405,9872.027243
BTC,17/07/2019,9490.410516,9733.132134,10934.47264,11075.35282,9404.352196
BTC,18/07/2019,9733.132134,10603.34887,9490.438127,9972.24511,9085.489499
BTC,19/07/2019,10603.34887,10466.26094,9693.486511,10740.9887,9282.643
BTC,20/07/2019,10466.26094,10983.216,10603.34315,10797.63846,10133.09431
BTC,21/07/2019,10983.216,10551.13163,10533.96325,11035.42593,10368.80107
BTC,22/07/2019,10551.13163,10285.63923,11004.39657,11096.77442,10314.26618
BTC,23/07/2019,10285.63923,10027.53261,10551.12785,10685.24817,10071.52249
BTC,24/07/2019,10027.53261,9771.504761,10285.63482,10338.63884,9882.631832
BTC,25/07/2019,9771.504761,9897.429352,9867.265028,9916.47758,9510.623987
BTC,26/07/2019,9897.429352,9812.226351,9771.504819,10184.44037,9738.089085
BTC,27/07/2019,9812.226351,9440.140037,9897.413446,9924.602563,9643.881829
BTC,28/07/2019,9440.140037,9495.855261,9812.206638,10193.53397,9306.103532
BTC,29/07/2019,9495.855261,9506.704273,9459.674242,9603.319275,9134.399352
BTC,30/07/2019,9506.704273,9572.735372,9528.693443,9717.514278,9373.369428
BTC,31/07/2019,9572.735372,10005.29447,9506.698028,9719.981661,9387.22372
BTC,01/08/2019,10005.29447,10385.20061,9572.738464,10132.40473,9572.738439
BTC,02/08/2019,10385.20061,10513.91147,10005.28929,10474.78174,9884.737728
BTC,03/08/2019,10513.91147,10831.25986,10385.21297,10663.61879,10329.19692
BTC,04/08/2019,10831.25986,10985.80754,10513.91475,10909.25592,10498.94443
BTC,05/08/2019,10985.80754,11811.78705,10831.2503,11051.98579,10573.7773
BTC,06/08/2019,11811.78705,11310.18722,10985.83088,11940.48387,10939.56908
BTC,07/08/2019,11310.18722,11956.04722,11811.80356,12314.10766,11219.40378
BTC,08/08/2019,11956.04722,11817.45548,11310.22164,12129.40974,11283.67611
BTC,09/08/2019,11817.45548,11827.57457,11956.02281,12032.04653,11502.52799
BTC,10/08/2019,11827.57457,11278.28125,11972.59295,12027.25991,11654.66325
BTC,11/08/2019,11278.28125,11485.36578,11827.57457,11967.87796,11227.62221
BTC,12/08/2019,11485.36578,11391.96865,11279.87554,11545.10453,11101.01485
BTC,13/08/2019,11391.96865,10869.37911,11485.36408,11583.8907,11227.44066
BTC,14/08/2019,10869.37911,10211.49858,11391.96383,11434.88853,10746.75595
BTC,15/08/2019,10211.49858,10386.53955,10851.20047,10860.82397,10047.99513
BTC,16/08/2019,10386.53955,10388.45059,10211.50951,10444.07996,9682.711422
BTC,17/08/2019,10388.45059,10212.10144,10307.25976,10530.36531,9726.97815
BTC,18/08/2019,10212.10144,10335.37284,10388.45804,10463.91871,9994.108246
BTC,19/08/2019,10335.37284,10774.81031,10211.67093,10462.74951,10082.26549
BTC,20/08/2019,10774.81031,10818.50701,10335.37448,10812.79708,10264.45646
BTC,21/08/2019,10818.50701,10064.91679,10774.82421,10943.87041,10531.48856
BTC,22/08/2019,10064.91679,10161.16475,10818.52263,10818.58913,9864.136684
BTC,23/08/2019,10161.16475,10364.28135,10064.93106,10229.01701,9762.052413
BTC,24/08/2019,10364.28135,10171.49746,10103.4429,10450.29234,10034.08645
BTC,25/08/2019,10171.49746,10068.92242,10392.61634,10408.96385,9901.486012
BTC,26/08/2019,10068.92242,10312.21504,10171.49019,10292.84102,9911.50882
BTC,27/08/2019,10312.21504,10122.19653,10138.57086,10624.60517,10136.07172
BTC,28/08/2019,10122.19653,9743.162051,10312.19686,10402.29749,10042.87929
BTC,29/08/2019,9743.162051,9487.976434,10169.14274,10279.25422,9600.835039
BTC,30/08/2019,9487.976434,9590.736337,9743.15873,9747.119828,9325.394154
BTC,31/08/2019,9590.736337,9624.983911,9487.960049,9682.725536,9343.706051
BTC,01/09/2019,9624.983911,9780.667897,9580.761352,9699.864379,9406.444484
BTC,02/09/2019,9780.667897,10381.85596,9624.979967,9819.158622,9552.150794
BTC,03/09/2019,10381.85596,10691.3113,9781.864338,10440.22046,9738.247573
BTC,04/09/2019,10691.3113,10555.0469,10366.37382,10752.42149,10290.49442
BTC,05/09/2019,10555.0469,10576.31789,10691.31852,10810.01817,10185.25791
BTC,06/09/2019,10576.31789,10334.02389,10555.0624,10643.94607,10463.81329
BTC,07/09/2019,10334.02389,10495.22736,10576.32519,10928.34381,10201.60832
BTC,08/09/2019,10495.22736,10402.79653,10333.99906,10563.71089,10288.75316
BTC,09/09/2019,10402.79653,10332.94219,10485.40972,10595.19556,10244.58258
BTC,10/09/2019,10332.94219,10082.94683,10402.76795,10524.38695,10097.98038
BTC,11/09/2019,10082.94683,10152.75298,10332.93727,10380.30659,9956.122723
BTC,12/09/2019,10152.75298,10396.7672,10107.49504,10269.03039,9891.803301
BTC,13/09/2019,10396.7672,10299.47696,10152.76062,10459.92661,10055.26449
BTC,14/09/2019,10299.47696,10351.23202,10396.76226,10447.38863,10167.99105
BTC,15/09/2019,10351.23202,10302.19071,10299.49457,10425.91182,10229.45418
BTC,16/09/2019,10302.19071,10301.65965,10361.08564,10381.56459,10267.86546
BTC,17/09/2019,10301.65965,10231.42151,10306.1484,10373.06351,10093.14028
BTC,18/09/2019,10231.42151,10168.28771,10301.66126,10304.62364,10145.34576
BTC,19/09/2019,10168.28771,10223.50558,10231.41302,10263.82338,10094.32501
BTC,20/09/2019,10223.50558,10138.33521,10166.77877,10286.01075,9687.29416
BTC,21/09/2019,10138.33521,9984.520516,10223.50709,10289.21566,10065.62894
BTC,22/09/2019,9984.520516,10031.86671,10138.35756,10179.74247,9908.572815
BTC,23/09/2019,10031.86671,9719.718696,9984.518857,10083.09813,9850.753085
BTC,24/09/2019,9719.718696,8688.973526,10031.86687,10062.91987,9630.695768
BTC,25/09/2019,8688.973526,8438.708552,9719.704257,9770.161484,7944.334498
BTC,26/09/2019,8438.708552,8103.2109,8528.464788,8741.509561,8230.466526
BTC,27/09/2019,8103.2109,8195.210697,8438.716459,8462.412486,7757.276118
BTC,28/09/2019,8195.210697,8146.414032,8103.901572,8286.743263,7869.55317
BTC,29/09/2019,8146.414032,8085.71329,8183.316058,8321.160587,7723.691419
BTC,30/09/2019,8085.71329,8241.34147,8146.422964,8228.641494,7905.017736
BTC,01/10/2019,8241.34147,8333.68919,8055.694139,8331.291686,7728.678427
BTC,02/10/2019,8333.68919,8273.464018,8298.624775,8508.705409,8195.045244
BTC,03/10/2019,8273.464018,8203.843833,8333.710296,8388.015862,8177.694601
BTC,04/10/2019,8203.843833,8163.902638,8273.457419,8412.650047,8060.325317
BTC,05/10/2019,8163.902638,8137.146689,8231.786249,8240.948769,8014.419323
BTC,06/10/2019,8137.146689,7853.693305,8163.901441,8196.249514,8025.500462
BTC,07/10/2019,7853.693305,8236.208379,8138.833489,8171.568254,7802.464851
BTC,08/10/2019,8236.208379,8201.637818,7850.684576,8304.140139,7777.631571
BTC,09/10/2019,8201.637818,8572.380812,8236.205875,8316.990673,8113.111805
BTC,10/10/2019,8572.380812,8582.144518,8173.838803,8691.072691,8117.91224
BTC,11/10/2019,8582.144518,8320.171581,8572.382301,8654.382776,8435.18651
BTC,12/10/2019,8320.171581,8328.60426,8582.148123,8796.457282,8288.227631
BTC,13/10/2019,8328.60426,8282.177326,8320.168154,8406.142415,8225.301457
BTC,14/10/2019,8282.177326,8337.818999,8309.172913,8468.97364,8167.264904
BTC,15/10/2019,8337.818999,8162.44,8282.181596,8385.55341,8214.318868
BTC,16/10/2019,8162.44,8003.820395,8355,8420,8096.62
BTC,17/10/2019,8003.820395,8058.058081,8166.344773,8184.386436,7918.275881
BTC,18/10/2019,8058.058081,7970.239476,8003.819261,8120.121106,7937.852166
BTC,19/10/2019,7970.239476,7943.347107,8058.058875,8121.045885,7820.066343
BTC,20/10/2019,7943.347107,8200.318763,7956.890802,8095.903392,7882.646968
BTC,21/10/2019,8200.318763,8200.246099,7943.352412,8306.004901,7884.518625
BTC,22/10/2019,8200.246099,8073.409544,8233.799468,8346.556497,8152.237887
BTC,23/10/2019,8073.409544,7420.415836,8200.244382,8309.665328,8054.948065
BTC,24/10/2019,7420.415836,7460.617416,8027.293815,8054.994888,7307.391946
BTC,25/10/2019,7460.617416,8591.223897,7420.414034,7503.599764,7347.630865
BTC,26/10/2019,8591.223897,9171.306532,7421.571805,8762.680498,7393.261413
BTC,27/10/2019,9171.306532,9578.367556,8591.236577,10332.40951,8591.225768
BTC,28/10/2019,9578.367556,9458.22336,9259.521873,9813.443885,9103.737134
BTC,29/10/2019,9458.22336,9455.724693,9578.364387,9930.974021,9272.656652
BTC,30/10/2019,9455.724693,9225.995479,9228.074502,9551.778726,9125.778457
BTC,31/10/2019,9225.995479,9131.41063,9455.728198,9468.963245,9004.132304
BTC,01/11/2019,9131.41063,9197.632345,9225.997769,9425.44994,8954.89964
BTC,02/11/2019,9197.632345,9290.896602,9131.417153,9291.117644,9047.176594
BTC,03/11/2019,9290.896602,9202.415451,9230.478858,9377.084522,9197.833142
BTC,04/11/2019,9202.415451,9369.628081,9290.899794,9362.633137,9074.382879
BTC,05/11/2019,9369.628081,9326.599624,9203.826007,9526.165195,9125.861531
BTC,06/11/2019,9326.599624,9335.752402,9404.38087,9466.070961,9173.044686
BTC,07/11/2019,9335.752402,9226.485821,9326.592531,9439.215735,9254.732115
BTC,08/11/2019,9226.485821,8794.358645,9331.215796,9364.590814,9088.107628
BTC,09/11/2019,8794.358645,8798.042055,9205.618606,9247.614352,8666.389614
BTC,10/11/2019,8798.042055,9081.186878,8794.36261,8881.909087,8719.961753
BTC,11/11/2019,9081.186878,8711.534339,8798.036067,9123.338511,8742.737626
BTC,12/11/2019,8711.534339,8760.892718,9081.177733,9096.026278,8613.892395
BTC,13/11/2019,8760.892718,8749.520591,8711.536153,8856.381556,8564.937933
BTC,14/11/2019,8749.520591,8656.970922,8760.888546,8837.921252,8703.63545
BTC,15/11/2019,8656.970922,8500.643558,8758.546642,8785.054199,8562.374593
BTC,16/11/2019,8500.643558,8469.260899,8656.971858,8763.903472,8359.849192
BTC,17/11/2019,8469.260899,8537.339652,8500.643936,8539.132174,8423.543205
BTC,18/11/2019,8537.339652,8205.806366,8469.261015,8624.956305,8369.224963
BTC,19/11/2019,8205.806366,8118.488536,8500.644603,8500.646489,8035.885907
BTC,20/11/2019,8118.488536,8074.843174,8205.810043,8205.810043,7988.922628
BTC,21/11/2019,8074.843174,7612.740574,8119.484444,8215.619589,8029.097727
BTC,22/11/2019,7612.740574,7262.110535,8074.840561,8118.113996,7420.281322
BTC,23/11/2019,7262.110535,7303.405759,7618.579413,7717.802088,6804.143065
BTC,24/11/2019,7303.405759,7041.732936,7262.127934,7354.862635,7094.975791
BTC,25/11/2019,7041.732936,7211.861809,7303.414265,7338.698677,6920.631497
BTC,26/11/2019,7211.861809,7141.069449,6894.651354,7368.147389,6524.552859
BTC,27/11/2019,7141.069449,7523.480673,7211.870983,7336.30101,7012.057702
BTC,28/11/2019,7523.480673,7390.207469,7141.075509,7660.64037,6851.62293
BTC,29/11/2019,7390.207469,7729.265939,7523.472887,7647.518089,7379.309918
BTC,30/11/2019,7729.265939,7542.235609,7390.210656,7856.607906,7378.405543
BTC,01/12/2019,7542.235609,7381.963008,7748.335487,7805.029322,7439.098867
BTC,02/12/2019,7381.963008,7333.43293,7542.245344,7564.940079,7238.322233
BTC,03/12/2019,7333.43293,7315.367765,7381.962005,7440.615736,7162.492125
BTC,04/12/2019,7315.367765,7213.733762,7315.439203,7407.410775,7238.730592
BTC,05/12/2019,7213.733762,7398.78705,7315.369274,7767.908725,7089.141289
BTC,06/12/2019,7398.78705,7511.880583,7213.743416,7488.137772,7155.119946
BTC,07/12/2019,7511.880583,7532.123513,7392.910937,7583.387456,7304.070441
BTC,08/12/2019,7532.123513,7550.2392,7511.884605,7619.666018,7475.015594
BTC,09/12/2019,7550.2392,7333.096043,7532.123513,7573.156018,7387.154016
BTC,10/12/2019,7333.096043,7239.762575,7550.238815,7652.742606,7285.227768
BTC,11/12/2019,7239.762575,7198.066677,7333.095889,7394.504676,7161.527291
BTC,12/12/2019,7198.066677,7190.272369,7240.078227,7269.474391,7131.644054
BTC,13/12/2019,7190.272369,7238.874323,7203.956606,7282.336143,7081.880221
BTC,14/12/2019,7238.874323,7087.024985,7188.071895,7297.588894,7183.201754
BTC,15/12/2019,7087.024985,7112.731476,7238.993089,7271.571184,7007.426923
BTC,16/12/2019,7112.731476,6883.496394,7087.024958,7198.32384,7007.558814
BTC,17/12/2019,6883.496394,6584.028843,7112.504977,7139.580243,6828.479448
BTC,18/12/2019,6584.028843,7424.0154,6884.661554,6933.741179,6565.009645
BTC,19/12/2019,7424.0154,7147.568324,6584.030424,7424.06403,6427.959386
BTC,20/12/2019,7147.568324,7139.933371,7285.122044,7367.158856,7043.162249
BTC,21/12/2019,7139.933371,7286.335081,7147.569001,7177.392151,7076.11104
BTC,22/12/2019,7286.335081,7236.986205,7155.213175,7328.930813,7122.024233
BTC,23/12/2019,7236.986205,7166.172379,7286.33631,7356.640519,7083.734726
BTC,24/12/2019,7166.172379,7235.62665,7236.986086,7498.797304,7127.936255
BTC,25/12/2019,7235.62665,7212.809395,7166.173045,7292.006736,7045.122915
BTC,26/12/2019,7212.809395,7183.706536,7235.623582,7277.804111,7120.21395
BTC,27/12/2019,7183.706536,7227.293712,7212.808361,7427.47228,7105.723864
BTC,28/12/2019,7227.293712,7311.560644,7183.706083,7251.381246,7065.278308
BTC,29/12/2019,7311.560644,7385.464848,7227.294388,7348.789794,7217.079597
